ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderDate,ArrestType
1,421,602,2023-12-22,Arrest
2,2787,6093,2024-10-17,Arrest
3,2271,8052,2024-08-18,Arrest
4,992,2442,2023-11-06,Surrender
5,1443,8454,2022-08-04,Arrest
6,480,1430,2022-05-24,Arrest
7,2085,4764,2024-03-17,Arrest
8,1228,1596,2023-12-16,Arrest
9,3660,7844,2023-07-06,Arrest
10,2306,7437,2025-08-25,Surrender
11,3461,6000,2025-11-03,Arrest
12,548,4921,2024-08-22,Arrest
13,2656,6012,2022-09-09,Arrest
14,2577,4384,2023-06-18,Arrest
15,1295,6665,2022-12-10,Arrest
16,1495,8163,2026-06-30,Surrender
17,4514,3722,2022-08-24,Arrest
18,1233,3591,2024-05-16,Arrest
19,4730,995,2022-05-02,Arrest
20,3446,3413,2023-02-14,Arrest
21,1396,4672,2025-10-12,Surrender
22,4736,1439,2024-02-11,Arrest
23,512,7654,2025-10-03,Surrender
24,1436,2877,2024-10-08,Surrender
25,1483,6070,2022-09-02,Arrest
26,3716,7742,2023-06-22,Arrest
27,1083,2756,2025-12-07,Arrest
28,580,1427,2025-10-24,Arrest
29,3738,4093,2023-04-17,Arrest
30,337,2752,2022-11-24,Arrest
31,1804,3317,2022-03-30,Surrender
32,388,1927,2022-11-05,Surrender
33,1038,8271,2022-09-11,Surrender
34,3321,6453,2026-06-09,Arrest
35,681,6443,2022-06-20,Arrest
36,1970,4751,2026-04-23,Arrest
37,1253,8098,2023-05-21,Arrest
38,788,8533,2023-07-20,Arrest
39,3136,512,2023-01-07,Arrest
40,4361,15,2025-11-05,Arrest
41,571,1324,2025-12-25,Arrest
42,1674,1056,2023-11-24,Surrender
43,3778,5825,2025-06-29,Arrest
44,4214,1018,2025-09-13,Arrest
45,143,2826,2022-11-12,Arrest
46,4308,5687,2025-11-27,Arrest
47,3024,4943,2022-11-18,Arrest
48,2095,6573,2025-05-29,Arrest
49,847,4378,2025-08-19,Arrest
50,2089,7421,2024-08-09,Arrest
51,2394,4023,2025-08-12,Arrest
52,257,3533,2023-10-05,Surrender
53,526,1374,2024-11-08,Surrender
54,854,8689,2024-06-11,Arrest
55,3238,7901,2022-08-15,Arrest
56,4013,2133,2023-12-06,Arrest
57,953,3838,2022-06-22,Arrest
58,358,8698,2023-01-10,Arrest
59,4072,2276,2024-11-07,Arrest
60,788,8532,2023-09-15,Arrest
61,2137,7109,2024-05-04,Arrest
62,4021,7663,2023-06-08,Arrest
63,1214,2684,2022-04-08,Arrest
64,1016,5477,2022-12-10,Arrest
65,4247,2586,2026-02-26,Arrest
66,1761,2313,2022-11-16,Arrest
67,2420,319,2023-06-11,Arrest
68,2607,5847,2026-06-30,Arrest
69,3876,4033,2023-10-27,Arrest
70,642,6218,2023-10-26,Arrest
71,3783,1211,2023-03-23,Arrest
72,398,595,2022-06-01,Arrest
73,2569,81,2024-02-03,Arrest
74,2575,5447,2025-03-31,Surrender
75,1130,8657,2023-06-24,Surrender
76,781,6693,2025-07-20,Arrest
77,2907,7839,2025-04-20,Arrest
78,4040,7845,2023-01-25,Arrest
79,1212,2116,2022-08-09,Arrest
80,2878,6047,2022-10-11,Arrest
81,727,7812,2025-06-03,Arrest
82,3788,5545,2025-09-15,Arrest
83,4069,4668,2026-06-03,Arrest
84,1878,1745,2026-06-30,Arrest
85,3723,8717,2026-06-30,Arrest
86,4270,7424,2023-03-11,Arrest
87,4028,5236,2024-08-19,Surrender
88,1600,1917,2024-09-17,Arrest
89,4023,8085,2023-01-15,Arrest
90,1860,223,2024-04-28,Arrest
91,4630,5943,2025-04-01,Arrest
92,4787,7728,2022-10-26,Arrest
93,4197,7169,2023-08-26,Arrest
94,4563,1028,2026-01-09,Arrest
95,1738,764,2022-03-08,Arrest
96,4172,3275,2025-10-30,Arrest
97,2457,497,2022-04-13,Arrest
98,2017,8359,2025-09-07,Arrest
99,2658,7708,2023-04-28,Arrest
100,3014,6195,2022-06-12,Arrest
101,2822,2222,2022-01-29,Arrest
102,3278,8527,2023-08-23,Arrest
103,2407,7502,2025-09-09,Arrest
104,812,5674,2022-08-06,Arrest
105,454,2843,2025-11-02,Arrest
106,4260,4085,2025-06-24,Arrest
107,331,240,2024-02-14,Arrest
108,3723,8716,2026-06-30,Arrest
109,694,3743,2026-03-27,Arrest
110,2900,2095,2023-02-07,Arrest
111,4243,2834,2024-03-03,Surrender
112,1237,3150,2024-07-24,Arrest
113,4418,7621,2023-02-26,Arrest
114,2315,1085,2022-12-02,Arrest
115,1702,1163,2023-05-08,Surrender
116,1063,1288,2025-07-16,Arrest
117,4512,5715,2024-07-03,Arrest
118,431,8090,2025-08-30,Arrest
119,522,1076,2024-05-21,Surrender
120,1306,7505,2025-01-21,Surrender
121,3181,6900,2025-04-19,Arrest
122,4604,3890,2023-09-06,Arrest
123,1348,4731,2025-08-14,Arrest
124,265,7601,2026-06-30,Arrest
125,4972,8458,2024-11-19,Arrest
126,1794,7584,2023-11-01,Arrest
127,521,7982,2022-03-26,Surrender
128,4403,2267,2023-01-23,Arrest
129,156,7795,2022-10-28,Arrest
130,660,1795,2026-05-08,Arrest
131,660,1794,2026-03-17,Arrest
132,731,3061,2025-11-14,Arrest
133,3703,5580,2026-06-15,Arrest
134,1737,3995,2025-03-11,Arrest
135,3977,6696,2022-06-09,Arrest
136,356,7963,2022-07-29,Arrest
137,3118,4002,2023-08-11,Arrest
138,1390,4509,2022-01-20,Surrender
139,3657,8015,2023-03-13,Arrest
140,3543,7179,2022-07-19,Arrest
141,4035,2606,2022-09-02,Arrest
142,1321,5435,2023-04-23,Arrest
143,3057,5784,2023-02-09,Arrest
144,3332,2914,2025-06-23,Arrest
145,2971,1347,2025-06-23,Arrest
146,4332,8238,2024-08-03,Arrest
147,4377,5664,2024-10-27,Arrest
148,3484,6272,2024-10-09,Arrest
149,163,3195,2026-06-30,Arrest
150,2671,5197,2025-02-25,Surrender
151,1053,354,2026-04-01,Arrest
152,4209,7093,2023-03-31,Arrest
153,1469,8107,2025-11-21,Surrender
154,1670,7670,2024-05-17,Arrest
155,205,6081,2025-01-06,Arrest
156,1305,2125,2022-07-11,Arrest
157,649,8612,2022-08-11,Arrest
158,3315,4904,2025-11-27,Arrest
159,3214,8559,2022-05-18,Arrest
160,2269,1660,2025-06-02,Arrest
161,4543,6674,2022-09-12,Arrest
162,1308,6643,2026-02-07,Arrest
163,4670,7373,2023-08-19,Arrest
164,417,4392,2024-04-01,Arrest
165,1500,1088,2022-10-29,Arrest
166,2228,3657,2025-10-07,Arrest
167,2759,2035,2026-05-02,Arrest
168,1465,3541,2024-04-03,Arrest
169,4299,8661,2025-01-29,Surrender
170,4534,7208,2022-03-23,Arrest
171,510,5104,2024-06-19,Arrest
172,3228,5152,2023-06-08,Arrest
173,1616,4320,2025-03-19,Arrest
174,2471,3066,2025-12-29,Arrest
175,3239,24,2023-07-13,Arrest
176,2192,4820,2025-06-04,Surrender
177,2632,2334,2026-06-10,Arrest
178,3467,8649,2026-06-30,Arrest
179,2990,4685,2024-07-04,Arrest
180,959,8219,2024-02-20,Arrest
181,2795,3937,2024-10-19,Arrest
182,3566,7320,2024-09-18,Arrest
183,4864,6606,2024-05-21,Arrest
184,4498,4254,2024-05-17,Arrest
185,3768,4210,2023-12-19,Arrest
186,890,6416,2025-11-09,Arrest
187,2119,790,2024-04-04,Arrest
188,855,94,2025-07-12,Arrest
189,4684,7491,2025-10-07,Surrender
190,3131,3847,2023-09-04,Arrest
191,3856,749,2022-12-18,Surrender
192,649,8609,2022-08-11,Arrest
193,4677,7886,2023-04-14,Arrest
194,870,4336,2022-07-11,Arrest
195,4067,3439,2025-09-14,Arrest
196,2183,3025,2022-08-31,Surrender
197,1888,1140,2022-03-05,Arrest
198,3626,1489,2026-01-05,Arrest
199,1860,222,2024-04-13,Arrest
200,45,4326,2023-11-14,Arrest
201,1447,1729,2022-06-15,Arrest
202,4587,1401,2026-06-02,Arrest
203,719,361,2023-10-09,Arrest
204,2218,5385,2024-10-03,Arrest
205,590,34,2025-04-11,Arrest
206,3470,1150,2025-07-19,Arrest
207,3505,2719,2024-09-01,Arrest
208,4773,812,2026-01-07,Surrender
209,1480,7079,2026-06-30,Arrest
210,111,922,2024-09-17,Arrest
211,4064,8094,2025-03-17,Surrender
212,2673,1748,2025-02-11,Arrest
213,2322,1011,2024-06-15,Arrest
214,4920,4909,2024-05-04,Surrender
215,464,1784,2024-10-01,Arrest
216,1270,213,2023-04-17,Arrest
217,1228,1594,2023-12-15,Arrest
218,816,89,2024-10-11,Arrest
219,360,1545,2023-04-24,Arrest
220,2100,6493,2026-04-18,Arrest
221,1539,2863,2023-05-05,Arrest
222,3985,1350,2025-12-15,Arrest
223,1987,5322,2022-07-03,Arrest
224,1043,5630,2024-03-09,Arrest
225,56,7341,2025-11-21,Arrest
226,1007,5286,2024-06-02,Arrest
227,3981,454,2024-09-17,Arrest
228,4526,2730,2025-07-07,Arrest
229,316,2589,2024-06-07,Arrest
230,4548,6540,2023-07-20,Arrest
231,1740,5732,2026-03-08,Surrender
232,1479,3398,2025-11-19,Arrest
233,2752,3027,2022-10-30,Arrest
234,528,1513,2023-08-18,Arrest
235,2083,2516,2024-08-10,Arrest
236,419,1587,2023-05-29,Arrest
237,2509,2699,2023-06-02,Surrender
238,3154,6553,2025-02-28,Surrender
239,4925,5210,2026-06-12,Surrender
240,4194,2523,2024-10-14,Arrest
241,4675,8513,2022-03-22,Arrest
242,2188,5138,2025-06-02,Surrender
243,1438,6187,2025-03-18,Arrest
244,2690,2859,2025-01-27,Surrender
245,3351,5698,2023-06-07,Arrest
246,3348,5811,2023-12-31,Arrest
247,4234,8687,2024-11-17,Arrest
248,1347,3699,2023-11-11,Surrender
249,755,6930,2025-07-09,Arrest
250,1563,4104,2023-11-26,Arrest
251,2815,6805,2023-03-30,Arrest
252,4232,5757,2025-08-15,Surrender
253,4048,8013,2023-03-14,Arrest
254,1861,1169,2024-11-07,Arrest
255,510,5103,2024-07-12,Arrest
256,688,2389,2022-04-10,Arrest
257,3941,8602,2024-05-28,Arrest
258,1771,7524,2024-05-16,Arrest
259,2408,6953,2023-11-28,Arrest
260,238,5486,2023-04-12,Arrest
261,1813,1176,2025-08-28,Arrest
262,2891,1128,2022-09-22,Arrest
263,739,18,2023-04-04,Arrest
264,2372,5463,2024-06-24,Arrest
265,1600,1919,2024-11-23,Arrest
266,3684,638,2023-01-08,Arrest
267,2650,539,2023-07-24,Arrest
268,744,4360,2024-05-12,Arrest
269,530,1340,2022-02-02,Arrest
270,3306,7282,2025-05-01,Surrender
271,817,7227,2025-07-01,Arrest
272,305,6758,2023-09-14,Arrest
273,2684,7516,2024-07-29,Arrest
274,4147,7258,2024-02-26,Arrest
275,3022,5363,2024-08-30,Arrest
276,2142,933,2025-05-20,Surrender
277,3144,1220,2022-12-08,Arrest
278,4788,7991,2026-06-30,Arrest
279,627,829,2022-05-04,Surrender
280,3524,4884,2024-11-18,Arrest
281,1865,316,2026-01-02,Arrest
282,3665,7324,2023-07-07,Arrest
283,4081,1742,2023-11-23,Arrest
284,3398,7000,2023-12-13,Arrest
285,1770,5459,2024-08-16,Arrest
286,1825,7469,2025-03-20,Surrender
287,3397,322,2022-12-14,Arrest
288,4662,7711,2026-02-28,Arrest
289,3080,1616,2023-07-18,Surrender
290,2884,6585,2026-02-08,Arrest
291,3243,1335,2026-04-05,Arrest
292,3737,4241,2022-05-16,Arrest
