CaseMasterID,CrimeNo,CrimeRegisteredDate,PoliceStationID,CrimeMajorHeadID,GravityOffenceID,latitude,longitude,BriefFacts
1,KSP/2022/7912,2022-11-15,5,10,2,12.96993,77.60513,Patrol unit responded to eve teasing call. One suspect apprehended.
2,KSP/2023/4611,2023-09-10,58,1,4,12.972323,77.607083,Patrol unit responded to cyber crime call. One suspect apprehended.
3,KSP/2025/3547,2025-08-06,28,10,2,12.987135,77.641109,Anonymous tip received regarding eve teasing. Investigation initiated.
4,KSP/2024/1711,2024-12-04,94,15,5,12.975449,77.75,Patrol unit responded to child offences call. One suspect apprehended.
5,KSP/2024/4150,2024-06-29,91,8,3,12.976967,77.591749,Patrol unit responded to fraud & cheating call. One suspect apprehended.
6,KSP/2023/5554,2023-12-25,59,2,3,13.02809,77.507907,Complainant reported property theft at Malleshwaram. Suspect fled the scene.
7,KSP/2024/3803,2024-04-09,69,10,2,12.96275,77.75,Complainant reported eve teasing at HSR Layout. Suspect fled the scene.
8,KSP/2023/1916,2023-11-14,30,11,3,12.93869,77.625717,Anonymous tip received regarding land disputes. Investigation initiated.
9,KSP/2024/9179,2024-09-04,51,13,2,12.955485,77.64323,FIR lodged following missing persons incident. Victim sustained minor injuries.
10,KSP/2024/7543,2024-03-27,47,14,3,13.026929,77.557432,Patrol unit responded to domestic violence call. One suspect apprehended.
11,KSP/2022/3621,2022-05-27,88,4,4,13.003463,77.619608,Complainant reported assault & violence at Whitefield. Suspect fled the scene.
12,KSP/2024/2876,2024-02-21,88,8,3,12.934816,77.628445,Patrol unit responded to fraud & cheating call. One suspect apprehended.
13,KSP/2024/8433,2024-06-30,1,14,3,12.991595,77.566415,domestic violence reported near Whitefield. CCTV footage under review.
14,KSP/2023/5889,2023-07-10,82,15,5,12.908515,77.667614,Patrol unit responded to child offences call. One suspect apprehended.
15,KSP/2022/9005,2022-01-02,3,9,2,12.969547,77.613539,Patrol unit responded to unlawful assembly call. One suspect apprehended.
16,KSP/2024/2290,2024-01-14,11,2,3,12.996883,77.747395,Complainant reported property theft at Koramangala. Suspect fled the scene.
