month_start,station_id,district_id,case_count,serious_case_count
2022-01-01,1,1,20,8
2022-02-01,1,1,12,6
2022-03-01,1,1,27,14
2022-04-01,1,1,29,9
2022-05-01,1,1,21,10
2022-06-01,1,1,21,5
2022-07-01,1,1,12,2
2022-08-01,1,1,14,5
2022-09-01,1,1,16,3
2022-10-01,1,1,26,11
2022-11-01,1,1,23,7
2022-12-01,1,1,28,14
2023-01-01,1,1,15,7
2023-02-01,1,1,19,10
2023-03-01,1,1,24,13
2023-04-01,1,1,18,8
2023-05-01,1,1,22,8
2023-06-01,1,1,17,7
2023-07-01,1,1,19,4
2023-08-01,1,1,20,8
2023-09-01,1,1,19,8
2023-10-01,1,1,14,6
2023-11-01,1,1,12,6
2023-12-01,1,1,18,5
2024-01-01,1,1,14,6
2024-02-01,1,1,15,5
2024-03-01,1,1,19,5
2024-04-01,1,1,16,4
2024-05-01,1,1,19,6
2024-06-01,1,1,17,7
2024-07-01,1,1,15,7
2024-08-01,1,1,19,9
2024-09-01,1,1,13,6
2024-10-01,1,1,26,10
2024-11-01,1,1,26,8
2024-12-01,1,1,16,7
2025-01-01,1,1,16,4
2025-02-01,1,1,25,8
2025-03-01,1,1,21,12
2025-04-01,1,1,20,6
2025-05-01,1,1,27,14
2025-06-01,1,1,24,4
2025-07-01,1,1,30,12
2025-08-01,1,1,22,6
2025-09-01,1,1,20,9
2025-10-01,1,1,22,6
2025-11-01,1,1,19,9
2025-12-01,1,1,19,12
2026-01-01,1,1,20,10
2026-02-01,1,1,19,9
2026-03-01,1,1,13,3
2026-04-01,1,1,14,5
2026-05-01,1,1,16,5
2026-06-01,1,1,19,7
2022-01-01,2,1,10,1
2022-02-01,2,1,18,8
2022-03-01,2,1,18,6
2022-04-01,2,1,9,4
2022-05-01,2,1,14,6
2022-06-01,2,1,26,11
2022-07-01,2,1,17,3
2022-08-01,2,1,16,11
2022-09-01,2,1,15,4
2022-10-01,2,1,17,4
2022-11-01,2,1,22,11
2022-12-01,2,1,14,3
2023-01-01,2,1,21,9
2023-02-01,2,1,13,4
2023-03-01,2,1,15,6
2023-04-01,2,1,27,14
2023-05-01,2,1,21,11
2023-06-01,2,1,24,8
2023-07-01,2,1,21,7
2023-08-01,2,1,25,10
2023-09-01,2,1,21,10
2023-10-01,2,1,15,7
2023-11-01,2,1,14,3
2023-12-01,2,1,13,7
2024-01-01,2,1,17,6
2024-02-01,2,1,7,4
2024-03-01,2,1,7,0
2024-04-01,2,1,19,8
2024-05-01,2,1,18,9
2024-06-01,2,1,18,8
2024-07-01,2,1,14,3
2024-08-01,2,1,17,7
2024-09-01,2,1,19,9
2024-10-01,2,1,26,9
2024-11-01,2,1,19,8
2024-12-01,2,1,16,8
2025-01-01,2,1,19,7
2025-02-01,2,1,13,6
2025-03-01,2,1,19,8
2025-04-01,2,1,16,10
2025-05-01,2,1,22,11
2025-06-01,2,1,22,11
2025-07-01,2,1,26,10
2025-08-01,2,1,17,7
2025-09-01,2,1,21,9
2025-10-01,2,1,19,7
2025-11-01,2,1,19,4
2025-12-01,2,1,24,11
2026-01-01,2,1,25,6
2026-02-01,2,1,17,5
2026-03-01,2,1,20,4
2026-04-01,2,1,12,1
2026-05-01,2,1,16,5
2026-06-01,2,1,19,6
2022-01-01,3,1,25,9
2022-02-01,3,1,15,6
2022-03-01,3,1,11,6
2022-04-01,3,1,24,10
2022-05-01,3,1,17,8
2022-06-01,3,1,15,4
2022-07-01,3,1,11,1
2022-08-01,3,1,17,9
2022-09-01,3,1,17,9
2022-10-01,3,1,22,7
2022-11-01,3,1,18,4
2022-12-01,3,1,24,10
2023-01-01,3,1,20,10
2023-02-01,3,1,17,10
2023-03-01,3,1,19,7
2023-04-01,3,1,19,8
2023-05-01,3,1,14,5
2023-06-01,3,1,22,13
2023-07-01,3,1,15,6
2023-08-01,3,1,22,4
2023-09-01,3,1,15,8
2023-10-01,3,1,25,6
2023-11-01,3,1,16,5
2023-12-01,3,1,17,7
2024-01-01,3,1,17,5
2024-02-01,3,1,19,6
2024-03-01,3,1,17,9
2024-04-01,3,1,19,7
2024-05-01,3,1,19,6
2024-06-01,3,1,19,3
2024-07-01,3,1,19,5
2024-08-01,3,1,24,7
2024-09-01,3,1,18,9
2024-10-01,3,1,13,4
2024-11-01,3,1,20,10
2024-12-01,3,1,14,2
2025-01-01,3,1,21,8
2025-02-01,3,1,15,6
2025-03-01,3,1,27,13
2025-04-01,3,1,20,6
2025-05-01,3,1,18,6
2025-06-01,3,1,13,5
2025-07-01,3,1,24,14
2025-08-01,3,1,20,6
2025-09-01,3,1,12,5
2025-10-01,3,1,14,8
2025-11-01,3,1,16,4
2025-12-01,3,1,22,8
2026-01-01,3,1,20,6
2026-02-01,3,1,17,7
2026-03-01,3,1,26,10
2026-04-01,3,1,19,4
2026-05-01,3,1,22,14
2026-06-01,3,1,28,13
2022-01-01,4,1,16,7
2022-02-01,4,1,21,13
2022-03-01,4,1,26,8
2022-04-01,4,1,16,9
2022-05-01,4,1,16,7
2022-06-01,4,1,17,6
2022-07-01,4,1,17,6
2022-08-01,4,1,14,5
2022-09-01,4,1,18,5
2022-10-01,4,1,21,10
2022-11-01,4,1,16,5
2022-12-01,4,1,10,4
2023-01-01,4,1,26,10
2023-02-01,4,1,19,8
2023-03-01,4,1,13,4
2023-04-01,4,1,17,5
2023-05-01,4,1,21,7
2023-06-01,4,1,19,8
2023-07-01,4,1,19,5
2023-08-01,4,1,15,5
2023-09-01,4,1,18,8
2023-10-01,4,1,18,6
2023-11-01,4,1,12,2
2023-12-01,4,1,14,4
2024-01-01,4,1,24,13
2024-02-01,4,1,21,8
2024-03-01,4,1,19,6
2024-04-01,4,1,18,4
2024-05-01,4,1,15,6
2024-06-01,4,1,25,9
2024-07-01,4,1,14,3
2024-08-01,4,1,17,8
2024-09-01,4,1,14,4
2024-10-01,4,1,16,4
2024-11-01,4,1,24,7
2024-12-01,4,1,11,6
2025-01-01,4,1,19,8
2025-02-01,4,1,19,5
2025-03-01,4,1,15,7
2025-04-01,4,1,16,7
2025-05-01,4,1,13,4
2025-06-01,4,1,17,7
2025-07-01,4,1,14,7
2025-08-01,4,1,18,6
2025-09-01,4,1,13,3
2025-10-01,4,1,15,6
2025-11-01,4,1,18,8
2025-12-01,4,1,17,6
2026-01-01,4,1,19,6
2026-02-01,4,1,22,8
2026-03-01,4,1,20,5
2026-04-01,4,1,24,11
2026-05-01,4,1,20,10
2026-06-01,4,1,20,7
2022-01-01,5,1,23,6
2022-02-01,5,1,14,3
2022-03-01,5,1,19,6
2022-04-01,5,1,17,6
2022-05-01,5,1,26,10
2022-06-01,5,1,15,6
2022-07-01,5,1,25,5
2022-08-01,5,1,25,16
2022-09-01,5,1,17,6
2022-10-01,5,1,19,11
2022-11-01,5,1,18,5
2022-12-01,5,1,24,9
2023-01-01,5,1,20,5
2023-02-01,5,1,17,5
2023-03-01,5,1,15,5
2023-04-01,5,1,15,2
2023-05-01,5,1,24,13
2023-06-01,5,1,18,3
2023-07-01,5,1,17,7
2023-08-01,5,1,16,7
2023-09-01,5,1,12,6
2023-10-01,5,1,15,7
2023-11-01,5,1,20,4
2023-12-01,5,1,22,7
2024-01-01,5,1,18,3
2024-02-01,5,1,20,11
2024-03-01,5,1,27,9
2024-04-01,5,1,12,6
2024-05-01,5,1,24,11
2024-06-01,5,1,25,10
2024-07-01,5,1,16,4
2024-08-01,5,1,12,4
2024-09-01,5,1,15,6
2024-10-01,5,1,20,6
2024-11-01,5,1,13,7
2024-12-01,5,1,18,9
2025-01-01,5,1,25,8
2025-02-01,5,1,13,3
2025-03-01,5,1,17,4
2025-04-01,5,1,14,4
2025-05-01,5,1,27,7
2025-06-01,5,1,25,9
2025-07-01,5,1,23,10
2025-08-01,5,1,23,8
2025-09-01,5,1,23,7
2025-10-01,5,1,13,8
2025-11-01,5,1,23,13
2025-12-01,5,1,17,7
2026-01-01,5,1,15,7
2026-02-01,5,1,17,8
2026-03-01,5,1,11,6
2026-04-01,5,1,22,6
2026-05-01,5,1,10,6
2026-06-01,5,1,17,6
2022-01-01,6,1,14,4
2022-02-01,6,1,18,7
2022-03-01,6,1,11,3
2022-04-01,6,1,21,9
2022-05-01,6,1,14,6
2022-06-01,6,1,25,11
2022-07-01,6,1,20,11
2022-08-01,6,1,16,6
2022-09-01,6,1,10,4
2022-10-01,6,1,27,12
2022-11-01,6,1,18,8
2022-12-01,6,1,11,4
2023-01-01,6,1,11,2
2023-02-01,6,1,14,6
2023-03-01,6,1,18,6
2023-04-01,6,1,17,6
2023-05-01,6,1,11,5
2023-06-01,6,1,16,6
2023-07-01,6,1,14,2
2023-08-01,6,1,14,5
2023-09-01,6,1,18,6
2023-10-01,6,1,24,13
2023-11-01,6,1,20,6
2023-12-01,6,1,27,10
2024-01-01,6,1,18,4
2024-02-01,6,1,23,8
2024-03-01,6,1,21,10
2024-04-01,6,1,15,4
2024-05-01,6,1,31,15
2024-06-01,6,1,17,8
2024-07-01,6,1,22,7
2024-08-01,6,1,21,8
2024-09-01,6,1,17,7
2024-10-01,6,1,21,7
2024-11-01,6,1,14,4
2024-12-01,6,1,17,6
2025-01-01,6,1,16,8
2025-02-01,6,1,15,7
2025-03-01,6,1,16,6
2025-04-01,6,1,17,5
2025-05-01,6,1,10,2
2025-06-01,6,1,22,12
2025-07-01,6,1,11,3
2025-08-01,6,1,23,9
2025-09-01,6,1,18,6
2025-10-01,6,1,24,10
2025-11-01,6,1,31,12
2025-12-01,6,1,20,7
2026-01-01,6,1,11,4
2026-02-01,6,1,16,9
2026-03-01,6,1,14,7
2026-04-01,6,1,25,10
2026-05-01,6,1,16,4
2026-06-01,6,1,21,6
2022-01-01,7,1,19,6
2022-02-01,7,1,14,7
2022-03-01,7,1,20,10
2022-04-01,7,1,21,9
2022-05-01,7,1,14,6
2022-06-01,7,1,16,4
2022-07-01,7,1,14,4
2022-08-01,7,1,19,9
2022-09-01,7,1,25,14
2022-10-01,7,1,17,6
2022-11-01,7,1,22,9
2022-12-01,7,1,17,5
2023-01-01,7,1,26,7
2023-02-01,7,1,20,9
2023-03-01,7,1,19,7
2023-04-01,7,1,22,8
2023-05-01,7,1,20,5
2023-06-01,7,1,24,7
2023-07-01,7,1,27,9
2023-08-01,7,1,18,7
2023-09-01,7,1,17,9
2023-10-01,7,1,19,12
2023-11-01,7,1,28,7
2023-12-01,7,1,14,7
2024-01-01,7,1,21,9
2024-02-01,7,1,20,6
2024-03-01,7,1,20,8
2024-04-01,7,1,20,8
2024-05-01,7,1,17,9
2024-06-01,7,1,13,4
2024-07-01,7,1,25,12
2024-08-01,7,1,19,9
2024-09-01,7,1,24,10
2024-10-01,7,1,22,6
2024-11-01,7,1,13,5
2024-12-01,7,1,15,6
2025-01-01,7,1,18,9
