target_month,station_id,district_id,month_number,current_count,lag_1,lag_2,lag_3,lag_12,rolling_mean_6,rolling_mean_12,rolling_std_12,anomaly_class
2023-08-01,130,5,8,5,7,8,6,10,7.0,7.083,2.234,0
2023-07-01,14,1,7,23,15,19,22,12,19.833,17.917,4.981,0
2024-03-01,140,6,3,4,3,7,6,6,5.167,5.917,2.275,0
2023-09-01,162,9,9,9,9,6,3,11,5.667,6.75,2.701,0
2024-02-01,96,1,2,16,17,14,18,16,17.5,19.333,4.185,0
2025-02-01,42,1,2,24,24,17,19,17,19.667,17.917,3.965,0
2023-11-01,12,1,11,22,14,18,16,15,17.167,16.75,2.179,1
2025-12-01,128,5,12,6,5,5,5,5,5.833,6.25,2.8,0
2023-07-01,22,1,7,25,18,16,22,15,17.667,18.083,3.147,1
2023-06-01,140,6,6,3,10,4,6,6,6.0,6.333,2.146,0
2025-01-01,128,5,1,5,5,10,7,10,6.333,6.833,2.855,0
2024-08-01,56,1,8,12,13,23,14,25,18.5,19.75,5.379,0
2024-12-01,100,1,12,28,19,17,22,15,17.667,20.083,4.209,0
2024-04-01,159,9,4,12,4,8,5,4,7.167,6.25,2.301,1
2025-12-01,21,1,12,18,16,21,26,17,19.833,17.917,5.178,0
2024-03-01,28,1,3,24,15,27,26,15,19.5,18.5,5.469,0
2023-06-01,129,5,6,7,8,4,6,5,5.833,5.917,1.975,0
2023-04-01,40,1,4,30,29,10,24,20,19.833,18.667,4.849,1
2025-03-01,138,6,3,8,9,6,9,8,7.167,7.667,1.969,0
2023-03-01,146,7,3,3,10,10,6,9,7.333,7.833,3.099,0
2025-07-01,98,1,7,20,20,21,11,20,17.0,17.917,4.231,0
2024-02-01,126,5,2,11,4,6,14,6,9.0,6.75,3.769,0
2025-09-01,27,1,9,19,24,20,21,15,19.333,18.083,3.315,0
2024-11-01,15,1,11,15,25,21,15,20,18.167,17.25,3.841,0
2025-11-01,110,3,11,9,5,5,6,9,5.333,7.5,3.06,0
2023-08-01,96,1,8,17,24,17,27,27,21.167,20.333,4.755,0
2023-07-01,121,4,7,6,8,5,6,9,7.167,8.0,2.763,0
2025-08-01,14,1,8,21,11,12,13,12,16.667,16.0,4.973,0
2024-07-01,22,1,7,18,16,14,19,25,16.167,17.5,3.896,0
2025-12-01,18,1,12,17,14,19,10,17,17.833,20.25,5.77,0
2023-11-01,6,1,11,20,24,18,14,18,16.167,15.5,3.826,0
2023-06-01,124,4,6,6,12,6,6,8,7.5,7.083,2.109,0
2024-08-01,106,2,8,10,8,10,11,9,8.667,7.75,2.179,0
2023-05-01,53,1,5,14,25,23,13,25,19.5,19.75,4.957,0
2023-07-01,70,1,7,29,11,21,15,24,17.333,18.583,4.144,1
2024-03-01,96,1,3,30,16,17,14,20,17.333,19.333,4.185,1
2024-02-01,115,3,2,6,11,4,11,7,7.667,7.833,2.791,0
2023-06-01,134,6,6,6,5,8,10,4,7.5,6.833,2.98,0
2024-07-01,67,1,7,20,26,21,12,23,21.0,20.667,4.185,0
2024-11-01,160,9,11,7,9,9,11,10,8.833,7.0,3.516,0
2024-10-01,101,2,10,6,14,7,9,6,8.667,7.667,2.871,0
2024-07-01,105,2,7,7,9,7,7,7,8.667,8.0,2.892,0
2025-10-01,113,3,10,11,6,7,7,6,6.667,5.833,1.85,1
2025-07-01,12,1,7,23,19,19,21,21,17.333,18.083,4.1,0
2024-04-01,131,5,4,11,10,11,13,8,8.333,7.167,3.07,0
2023-12-01,31,1,12,27,13,12,20,20,17.5,18.583,3.965,1
2024-06-01,114,3,6,6,4,13,5,15,6.0,6.333,3.774,0
2024-09-01,68,1,9,20,11,16,21,20,20.0,19.333,6.125,0
2023-06-01,141,7,6,5,10,4,8,5,4.833,5.417,3.397,0
2024-02-01,56,1,2,14,21,20,23,20,21.0,20.333,4.053,0
2025-11-01,26,1,11,18,17,22,17,19,20.833,20.583,4.461,0
2023-08-01,54,1,8,35,18,14,26,21,17.333,17.75,5.011,1
2023-01-01,129,5,1,6,7,5,9,9,6.333,6.917,2.314,0
2025-02-01,126,5,2,8,9,9,6,11,8.333,7.417,2.392,0
2023-11-01,41,1,11,20,19,24,19,26,19.833,19.167,4.239,0
2025-04-01,70,1,4,15,22,14,24,15,17.5,18.25,4.615,0
2025-09-01,99,1,9,23,16,12,13,21,15.5,15.75,3.137,1
2023-05-01,89,1,5,22,22,22,22,20,21.667,19.917,4.602,0
2023-05-01,26,1,5,26,21,21,22,11,20.667,18.583,3.704,1
2023-08-01,125,5,8,11,6,7,10,6,8.0,7.417,1.73,1
2024-02-01,73,1,2,15,22,13,19,15,18.333,17.667,3.284,0
2023-07-01,6,1,7,14,16,11,17,20,14.5,15.75,4.864,0
2023-02-01,45,1,2,13,17,20,14,19,18.167,17.667,2.995,0
2025-07-01,117,4,7,13,5,6,5,7,6.833,6.917,2.392,1
2024-03-01,91,1,3,16,13,17,19,24,16.0,16.833,3.713,0
2024-07-01,74,1,7,14,21,15,19,23,19.167,19.0,3.838,0
2023-10-01,45,1,10,25,11,15,12,22,15.667,16.5,3.656,1
2023-01-01,40,1,1,24,16,22,18,12,17.5,17.167,2.623,1
2025-09-01,95,1,9,17,23,21,14,16,18.5,19.583,3.554,0
2025-04-01,111,3,4,8,5,5,7,7,5.833,6.5,1.834,0
2025-02-01,32,1,2,16,21,16,17,22,18.833,18.5,4.232,0
2024-08-01,150,8,8,14,8,4,9,3,6.5,7.25,2.989,1
2023-04-01,28,1,4,28,15,19,18,15,16.333,15.75,4.159,1
2025-11-01,159,9,11,15,5,5,8,4,5.833,6.083,1.929,1
2025-07-01,75,1,7,22,21,19,24,16,21.333,18.5,4.815,0
2024-03-01,87,1,3,19,17,16,15,12,17.0,17.417,2.843,0
2025-03-01,132,5,3,10,9,7,9,13,7.167,7.25,2.768,0
2024-04-01,162,9,4,4,6,7,9,6,7.5,6.917,2.968,0
2025-04-01,24,1,4,24,17,20,19,15,19.333,17.833,2.791,1
2024-05-01,107,2,5,10,6,6,6,6,6.333,5.75,1.765,1
2023-09-01,107,2,9,7,4,8,4,4,6.167,5.5,2.023,0
2023-02-01,27,1,2,16,28,18,26,21,21.0,20.167,3.857,0
2023-05-01,110,3,5,12,3,3,3,4,5.0,5.25,2.301,1
2024-05-01,55,1,5,21,18,14,18,17,16.167,16.417,3.288,0
2023-08-01,127,5,8,9,9,7,6,5,8.167,8.0,2.796,0
2024-10-01,46,1,10,14,26,15,15,17,16.667,17.833,4.174,0
2025-11-01,129,5,11,5,8,6,9,2,7.5,6.083,3.029,0
2023-08-01,46,1,8,18,19,13,15,17,17.0,18.167,3.271,0
2025-11-01,101,2,11,4,8,7,7,5,7.0,7.25,3.279,0
2025-10-01,120,4,10,5,6,6,7,5,6.833,6.75,2.563,0
2024-12-01,142,7,12,5,12,2,8,10,7.667,7.75,2.864,0
2023-05-01,23,1,5,17,20,17,19,12,17.833,18.25,2.958,0
2024-12-01,125,5,12,4,5,5,6,8,6.0,5.917,2.466,0
2024-09-01,162,9,9,13,7,9,11,9,6.833,7.417,3.118,0
2025-04-01,89,1,4,18,18,12,22,19,18.5,18.833,3.95,0
2023-12-01,72,1,12,30,19,21,22,17,18.667,19.417,5.089,1
2025-09-01,135,6,9,12,3,7,6,7,5.0,6.167,2.082,1
2023-03-01,109,3,3,9,11,11,8,7,7.833,7.5,2.844,0
2025-02-01,109,3,2,12,6,6,6,6,6.833,6.583,1.379,1
2023-05-01,148,7,5,14,1,8,5,9,5.333,6.083,2.429,1
2023-06-01,49,1,6,16,12,16,18,18,16.0,18.25,5.065,0
2023-07-01,45,1,7,12,17,17,22,23,17.333,18.25,3.108,0
2023-07-01,139,6,7,12,5,12,7,3,6.667,6.333,2.839,0
2023-07-01,4,1,7,19,19,21,17,17,19.167,17.583,4.188,0
2023-08-01,32,1,8,14,23,29,22,25,23.167,20.5,5.633,0
2025-09-01,87,1,9,20,17,14,25,27,19.167,18.583,4.963,0
2025-07-01,10,1,7,14,21,16,32,14,21.0,19.333,5.929,0
