target_month,station_id,district_id,month_number,lag_1,lag_2,lag_3,lag_12,rolling_3,rolling_6,target_next_month
2023-02-01,1,1,1,28,23,26,20,25.667,19.833,19
2023-03-01,1,1,2,15,28,23,12,22.0,20.333,24
2023-04-01,1,1,3,19,15,28,27,20.667,21.167,18
2023-05-01,1,1,4,24,19,15,29,19.333,22.5,22
2023-06-01,1,1,5,18,24,19,21,20.333,21.167,17
2023-07-01,1,1,6,22,18,24,21,21.333,21.0,19
2023-08-01,1,1,7,17,22,18,12,19.0,19.167,20
2023-09-01,1,1,8,19,17,22,14,19.333,19.833,19
2023-10-01,1,1,9,20,19,17,16,18.667,20.0,14
2023-11-01,1,1,10,19,20,19,26,19.333,19.167,12
2023-12-01,1,1,11,14,19,20,23,17.667,18.5,18
2024-01-01,1,1,12,12,14,19,28,15.0,16.833,14
2024-02-01,1,1,1,18,12,14,15,14.667,17.0,15
2024-03-01,1,1,2,14,18,12,19,14.667,16.167,19
2024-04-01,1,1,3,15,14,18,24,15.667,15.333,16
2024-05-01,1,1,4,19,15,14,18,16.0,15.333,19
2024-06-01,1,1,5,16,19,15,22,16.667,15.667,17
2024-07-01,1,1,6,19,16,19,17,18.0,16.833,15
2024-08-01,1,1,7,17,19,16,19,17.333,16.667,19
2024-09-01,1,1,8,15,17,19,20,17.0,16.833,13
2024-10-01,1,1,9,19,15,17,19,17.0,17.5,26
2024-11-01,1,1,10,13,19,15,14,15.667,16.5,26
2024-12-01,1,1,11,26,13,19,12,19.333,18.167,16
2025-01-01,1,1,12,26,26,13,18,21.667,19.333,16
2025-02-01,1,1,1,16,26,26,14,22.667,19.167,25
2025-03-01,1,1,2,16,16,26,15,19.333,19.333,21
2025-04-01,1,1,3,25,16,16,19,19.0,20.333,20
2025-05-01,1,1,4,21,25,16,16,20.667,21.667,27
2025-06-01,1,1,5,20,21,25,19,22.0,20.667,24
2025-07-01,1,1,6,27,20,21,17,22.667,20.833,30
2025-08-01,1,1,7,24,27,20,15,23.667,22.167,22
2025-09-01,1,1,8,30,24,27,19,27.0,24.5,20
2025-10-01,1,1,9,22,30,24,13,25.333,24.0,22
2025-11-01,1,1,10,20,22,30,26,24.0,23.833,19
2025-12-01,1,1,11,22,20,22,26,21.333,24.167,19
2023-02-01,2,1,1,14,22,17,10,17.667,16.833,13
2023-03-01,2,1,2,21,14,22,18,19.0,17.5,15
2023-04-01,2,1,3,13,21,14,18,16.0,17.0,27
2023-05-01,2,1,4,15,13,21,9,16.333,17.0,21
2023-06-01,2,1,5,27,15,13,14,18.333,18.667,24
2023-07-01,2,1,6,21,27,15,26,21.0,18.5,21
2023-08-01,2,1,7,24,21,27,17,24.0,20.167,25
2023-09-01,2,1,8,21,24,21,16,22.0,20.167,21
2023-10-01,2,1,9,25,21,24,15,23.333,22.167,15
2023-11-01,2,1,10,21,25,21,17,22.333,23.167,14
2023-12-01,2,1,11,15,21,25,22,20.333,21.167,13
2024-01-01,2,1,12,14,15,21,14,16.667,20.0,17
2024-02-01,2,1,1,13,14,15,21,14.0,18.167,7
2024-03-01,2,1,2,17,13,14,13,14.667,17.5,7
2024-04-01,2,1,3,7,17,13,15,12.333,14.5,19
2024-05-01,2,1,4,7,7,17,27,10.333,12.167,18
2024-06-01,2,1,5,19,7,7,21,11.0,12.833,18
2024-07-01,2,1,6,18,19,7,24,14.667,13.5,14
2024-08-01,2,1,7,18,18,19,21,18.333,14.333,17
2024-09-01,2,1,8,14,18,18,25,16.667,13.833,19
2024-10-01,2,1,9,17,14,18,21,16.333,15.5,26
2024-11-01,2,1,10,19,17,14,15,16.667,17.5,19
2024-12-01,2,1,11,26,19,17,14,20.667,18.667,16
2025-01-01,2,1,12,19,26,19,13,21.333,18.833,19
2025-02-01,2,1,1,16,19,26,17,20.333,18.5,13
2025-03-01,2,1,2,19,16,19,7,18.0,19.333,19
2025-04-01,2,1,3,13,19,16,7,16.0,18.667,16
2025-05-01,2,1,4,19,13,19,19,17.0,18.667,22
2025-06-01,2,1,5,16,19,13,18,16.0,17.0,22
2025-07-01,2,1,6,22,16,19,18,19.0,17.5,26
2025-08-01,2,1,7,22,22,16,14,20.0,18.5,17
2025-09-01,2,1,8,26,22,22,17,23.333,19.667,21
2025-10-01,2,1,9,17,26,22,19,21.667,20.333,19
2025-11-01,2,1,10,21,17,26,26,21.333,20.667,19
2025-12-01,2,1,11,19,21,17,19,19.0,21.167,24
2023-02-01,3,1,1,24,18,22,25,21.333,18.167,17
2023-03-01,3,1,2,20,24,18,15,20.667,19.667,19
2023-04-01,3,1,3,17,20,24,11,20.333,19.667,19
2023-05-01,3,1,4,19,17,20,24,18.667,20.0,14
2023-06-01,3,1,5,19,19,17,17,18.333,19.5,22
2023-07-01,3,1,6,14,19,19,15,17.333,18.833,15
2023-08-01,3,1,7,22,14,19,11,18.333,18.5,22
2023-09-01,3,1,8,15,22,14,17,17.0,17.667,15
2023-10-01,3,1,9,22,15,22,17,19.667,18.5,25
2023-11-01,3,1,10,15,22,15,22,17.333,17.833,16
2023-12-01,3,1,11,25,15,22,18,20.667,18.833,17
2024-01-01,3,1,12,16,25,15,24,18.667,19.167,17
2024-02-01,3,1,1,17,16,25,20,19.333,18.333,19
2024-03-01,3,1,2,17,17,16,17,16.667,18.667,17
2024-04-01,3,1,3,19,17,17,19,17.667,18.167,19
2024-05-01,3,1,4,17,19,17,19,17.667,18.5,19
