crime_type_id,area_id,time_window_id,language_id,has_case_terms,has_hotspot_terms,has_network_terms,action_class
9,18,5,0,0,0,1,network
6,12,2,0,0,0,1,network
5,5,0,0,0,1,0,hotspot
5,4,1,1,1,0,0,case_search
10,9,5,1,1,0,0,case_search
1,16,5,1,0,1,0,hotspot
15,15,2,0,0,0,1,network
8,12,5,0,1,0,0,case_search
4,6,3,0,0,0,1,network
12,11,0,1,0,1,0,hotspot
1,3,1,1,0,0,1,network
13,3,2,1,0,0,1,network
7,6,0,1,0,0,1,network
15,8,2,0,0,1,0,hotspot
6,20,0,0,0,0,1,network
14,14,4,1,0,0,1,network
4,2,5,0,1,0,0,case_search
2,1,4,1,0,1,0,hotspot
7,3,5,0,0,1,0,hotspot
3,16,5,0,0,1,0,hotspot
8,6,2,1,1,0,0,case_search
12,9,1,0,1,0,0,case_search
10,5,3,1,0,0,1,network
14,5,4,1,1,0,0,case_search
8,8,0,1,0,0,1,network
4,16,1,0,0,0,1,network
3,13,1,1,0,1,0,hotspot
10,10,1,0,1,0,0,case_search
14,19,3,0,0,1,0,hotspot
1,5,2,0,0,0,1,network
15,2,5,0,0,0,1,network
2,15,1,0,0,1,0,hotspot
7,13,2,1,0,1,0,hotspot
4,20,1,1,0,1,0,hotspot
2,18,3,0,0,1,0,hotspot
14,8,1,1,1,0,0,case_search
6,13,2,1,0,1,0,hotspot
7,1,4,0,1,0,0,case_search
10,19,3,1,1,0,0,case_search
12,17,4,0,0,1,0,hotspot
5,6,4,0,1,0,0,case_search
11,12,5,1,1,0,0,case_search
5,16,0,0,0,0,1,network
6,4,3,1,0,0,1,network
11,13,4,1,0,1,0,hotspot
12,20,2,0,1,0,0,case_search
13,18,3,0,1,0,0,case_search
6,20,4,1,0,1,0,hotspot
3,13,5,0,1,0,0,case_search
1,8,1,1,0,0,1,network
8,15,4,0,0,1,0,hotspot
15,9,0,1,0,0,1,network
10,9,0,1,1,0,0,case_search
10,15,0,1,0,1,0,hotspot
9,15,1,0,1,0,0,case_search
12,13,5,1,0,1,0,hotspot
7,14,5,0,0,0,1,network
9,16,2,0,0,1,0,hotspot
12,9,1,0,0,1,0,hotspot
8,16,3,0,1,0,0,case_search
6,7,3,0,0,0,1,network
10,6,2,1,0,0,1,network
7,4,3,1,1,0,0,case_search
9,10,3,0,1,0,0,case_search
13,2,3,0,0,1,0,hotspot
11,9,0,0,0,0,1,network
14,15,1,0,0,1,0,hotspot
5,10,3,1,0,1,0,hotspot
3,13,1,1,1,0,0,case_search
6,9,5,1,0,0,1,network
8,1,5,0,0,0,1,network
10,17,1,1,0,1,0,hotspot
10,18,1,0,0,1,0,hotspot
