"gravity_level","days_since_latest","station_case_volume","crime_type_volume","accused_count","repeat_accused_count","arrest_count","arrest_rate_percent","risk_class_id"
"2","1322","1008","8965","2","2","2","100","0"
"4","1023","990","5932","1","1","0","0","2"
"2","327","1002","8965","1","1","1","100","0"
"5","572","943","5062","2","1","0","0","2"
"3","730","981","7018","1","0","0","0","0"
"3","917","1013","7115","1","1","0","0","1"
"2","811","982","8965","2","1","2","100","0"
"3","958","995","7161","2","2","2","100","1"
"2","663","1070","8790","1","1","1","100","0"
"3","824","1000","7187","2","1","2","100","1"
"4","1494","985","5916","2","1","1","50","1"
"3","859","985","7018","1","1","1","100","0"
"3","729","1047","7187","2","0","2","100","1"
"5","1085","1017","5062","4","2","2","50","2"
"2","1639","1009","8901","1","1","1","100","0"
"3","897","1027","7115","1","1","0","0","1"
"4","1250","1048","5816","1","1","0","0","2"
"3","1016","997","7042","2","2","2","100","1"
"3","1575","1030","7187","3","2","3","100","1"
"4","1543","972","5916","1","1","1","100","1"
"5","172","986","5147","4","3","4","100","2"
"3","190","1085","7042","3","2","2","67","2"
"5","1050","1000","5051","3","1","3","100","2"
"3","1336","969","7042","2","1","2","100","1"
"5","132","1085","5062","3","3","3","100","2"
"3","227","967","7042","1","1","0","0","1"
"3","1451","1002","7042","1","0","0","0","0"
"3","63","1032","7018","1","1","0","0","1"
"3","876","987","7115","1","1","1","100","1"
"3","830","972","7115","2","0","2","100","0"
"5","1415","994","5147","2","1","2","100","2"
"2","1427","1027","8901","3","1","2","67","0"
"3","1616","1020","7018","3","1","1","33","1"
"5","765","989","5147","1","1","1","100","2"
"3","1483","986","7161","1","1","1","100","0"
"4","1138","969","5932","3","3","3","100","2"
"4","1529","999","5932","2","0","1","50","1"
"3","1517","968","7115","2","0","1","50","0"
"3","1160","986","7115","1","0","0","0","0"
"4","869","988","5932","2","1","2","100","1"
"2","210","1023","8790","2","1","2","100","1"
"4","773","956","5932","1","1","1","100","1"
"3","829","1008","7161","2","1","2","100","1"
"3","52","1059","7115","1","1","1","100","1"
"4","1028","968","5932","3","2","2","67","2"
"3","707","978","7187","1","0","1","100","0"
"5","463","956","5051","4","2","2","50","2"
"2","639","972","8901","3","1","2","67","0"
"4","1113","1007","5916","1","1","1","100","1"
"2","676","1020","8965","2","0","1","50","0"
"4","1414","996","5932","2","2","2","100","2"
"3","1623","1023","7161","1","1","1","100","1"
"3","866","973","7042","1","1","0","0","1"
"3","265","1000","7161","1","0","1","100","0"
"2","166","1017","8790","1","0","1","100","0"
"5","274","972","5147","1","1","1","100","2"
"5","922","981","5147","3","2","2","67","2"
"4","1447","938","5916","1","0","0","0","1"
"2","459","1004","8965","3","2","2","67","1"
"4","955","999","5816","1","1","1","100","1"
"2","1128","956","8901","3","1","2","67","0"
"3","309","1035","7187","1","1","0","0","1"
"5","463","1059","5147","1","1","1","100","2"
"2","553","992","8790","2","1","2","100","0"
"5","1577","1024","5062","1","0","1","100","2"
"3","844","992","7018","1","1","1","100","1"
"2","671","1070","8790","2","1","1","50","0"
"3","886","985","7187","3","2","3","100","1"
"2","562","1005","8965","2","1","1","50","0"
"2","1313","981","8901","4","3","4","100","1"
"3","138","978","7042","2","1","1","50","1"
"2","883","986","8790","2","0","2","100","0"
"4","838","969","5932","1","1","1","100","1"
"4","123","1097","5932","1","0","0","0","2"
"3","726","995","7018","1","1","1","100","1"
"3","613","1034","7161","4","2","2","50","2"
"5","1065","986","5147","2","1","1","50","2"
"3","1328","1000","7161","1","0","1","100","0"
"3","1471","1017","7042","2","1","2","100","1"
"2","182","1017","8790","2","0","1","50","0"
"5","1437","985","5062","1","1","1","100","2"
"2","697","969","8965","2","2","2","100","0"
"4","17","1004","5816","3","2","1","33","2"
"2","1332","1040","8790","1","1","1","100","0"
"3","1632","948","7161","1","0","1","100","0"
"4","1419","1000","5932","3","2","3","100","2"
"3","1199","995","7115","2","0","2","100","0"
"2","184","1034","8965","2","1","2","100","0"
"2","298","956","8901","1","1","1","100","0"
"3","1576","1016","7115","1","1","0","0","1"
"4","1077","991","5816","3","0","3","100","1"
"3","1141","1008","7018","2","0","2","100","0"
"3","1367","971","7161","2","1","2","100","0"
"5","205","1095","5062","1","0","1","100","2"
"5","1008","1008","5051","2","2","1","50","2"
"3","897","1048","7018","1","0","0","0","1"
"5","1276","974","5051","1","0","0","0","2"
"3","221","960","7161","1","0","0","0","0"
"3","782","1034","7187","3","2","2","67","2"
"2","119","1010","8790","1","0","1","100","0"
"5","641","985","4897","1","0","0","0","2"
"5","171","1001","5051","1","1","0","0","2"
"5","1329","1013","5062","1","1","0","0","2"
"4","1408","986","5932","1","0","0","0","1"
"2","460","1042","8965","1","1","0","0","0"
"4","934","1016","5932","3","1","3","100","2"
"2","1551","948","8965","2","1","2","100","0"
"5","1081","975","4897","1","1","1","100","2"
"2","1196","1013","8790","2","2","2","100","1"
"4","1150","1030","5916","1","1","1","100","2"
"5","702","985","5147","1","0","1","100","2"
"4","723","986","5916","3","2","2","67","2"
"4","97","941","5932","2","2","2","100","2"
"2","1216","995","8790","2","1","2","100","0"
"4","724","983","5816","1","0","1","100","1"
"3","81","1010","7042","2","1","2","100","1"
"5","185","972","5062","1","1","1","100","2"
"3","504","969","7161","2","0","1","50","0"
"5","826","985","5147","3","1","3","100","2"
"3","621","1017","7161","2","2","2","100","1"
"2","1206","1001","8790","1","0","1","100","0"
"3","488","1019","7115","2","2","2","100","1"
"2","771","1002","8965","2","1","2","100","0"
"3","499","1085","7018","2","1","1","50","1"
"5","228","951","5051","1","1","1","100","2"
"2","1249","1016","8965","1","1","1","100","0"
"2","1182","1020","8901","1","1","0","0","0"
"5","1560","972","5062","2","1","1","50","2"
"2","333","940","8965","3","2","2","67","1"
"3","952","1004","7018","3","0","2","67","1"
"3","393","1043","7018","1","0","0","0","1"
"3","1180","987","7161","3","1","2","67","1"
"2","724","1009","8965","2","0","1","50","0"
"2","972","986","8790","2","2","2","100","0"
"5","315","984","4897","3","1","1","33","2"
"5","1375","1067","5062","1","0","1","100","2"
"4","616","968","5816","2","0","1","50","1"
"3","747","985","7187","1","0","0","0","0"
"2","1304","971","8965","1","1","1","100","0"
"4","1559","956","5816","3","2","2","67","2"
"3","1622","1005","7042","2","1","1","50","1"
"3","972","986","7042","3","2","3","100","1"
"3","1377","975","7042","2","1","1","50","0"
"2","132","1034","8965","1","0","1","100","0"
"4","129","972","5916","2","0","2","100","1"
"4","984","948","5916","3","1","2","67","2"
"5","459","976","4897","1","0","0","0","2"
"2","1509","994","8901","1","1","1","100","0"
"2","343","1009","8790","1","0","1","100","0"
"5","516","1024","5062","2","1","2","100","2"
"3","586","994","7018","1","1","1","100","1"
"2","555","972","8901","1","0","1","100","0"
"3","1406","973","7115","1","0","1","100","0"
"4","636","1005","5816","2","1","1","50","2"
"3","547","973","7018","2","2","1","50","1"
"3","1360","964","7018","3","1","3","100","1"
"3","243","978","7018","2","2","1","50","1"
"2","573","972","8965","1","1","0","0","0"
"4","1147","964","5916","1","1","0","0","1"
"5","601","969","5051","2","1","1","50","2"
"3","1173","965","7161","1","0","1","100","0"
"5","1377","951","5147","1","0","1","100","2"
"2","5","974","8790","4","3","4","100","1"
"5","130","967","5051","1","1","1","100","2"
"3","5","938","7115","2","2","1","50","1"
"2","1126","1000","8965","2","0","2","100","0"
"3","246","995","7161","1","1","1","100","0"
"5","272","992","5062","1","1","1","100","2"
"5","1211","984","5051","2","2","2","100","2"
"2","755","1034","8901","3","2","2","67","1"
"3","951","1019","7018","1","0","1","100","0"
"4","476","1009","5932","1","0","1","100","1"
"2","749","1016","8790","1","0","1","100","0"
"3","845","943","7161","1","1","0","0","0"
"2","1262","1017","8965","2","1","2","100","0"
"2","1589","996","8790","3","1","1","33","0"
"3","346","1016","7042","1","1","1","100","1"
"5","63","940","5062","1","1","1","100","2"
"4","531","943","5932","2","2","0","0","2"
"2","1226","986","8965","1","1","1","100","0"
"2","154","1005","8790","2","0","2","100","0"
"3","1021","974","7161","1","1","1","100","0"
"5","1047","992","5051","3","2","0","0","2"
"5","274","1001","4897","1","1","1","100","2"
"3","1384","941","7161","4","4","4","100","2"
"5","622","941","5062","3","1","0","0","2"
"3","545","1017","7161","1","1","0","0","1"
"5","512","956","5062","1","1","1","100","2"
"3","1432","1000","7042","2","1","0","0","1"
"5","488","985","5051","3","2","2","67","2"
"3","1288","1001","7042","2","2","0","0","1"
"2","254","1097","8901","1","0","1","100","0"
"3","236","991","7187","2","2","0","0","1"
"2","1439","1004","8790","3","0","3","100","0"
"2","517","1023","8790","3","2","1","33","1"
"2","494","975","8790","1","0","1","100","0"
"3","153","985","7187","2","1","2","100","1"
"3","33","938","7115","1","1","0","0","1"
"5","1255","985","5062","4","4","4","100","2"
"3","28","1023","7042","3","2","2","67","2"
"2","1350","1030","8965","2","1","1","50","0"
"3","592","1027","7187","2","2","0","0","2"
"4","346","1001","5932","2","1","1","50","2"
"3","880","994","7187","1","1","0","0","1"
"3","584","996","7161","3","1","2","67","1"
"5","489","1005","4897","1","1","1","100","2"
"4","1483","1024","5916","1","0","0","0","1"
"5","669","1001","5062","1","1","0","0","2"
"5","1361","972","5062","2","1","1","50","2"
"4","178","985","5916","3","1","2","67","2"
"3","504","935","7018","3","1","0","0","1"
"2","241","1024","8901","3","2","3","100","1"
"5","505","956","5062","3","2","2","67","2"
"2","169","941","8901","1","0","1","100","0"
"3","420","1030","7187","1","1","1","100","1"
"5","709","1037","4897","1","0","1","100","2"
"3","1558","992","7161","2","1","1","50","1"
"4","148","1020","5816","3","1","3","100","2"
"2","1048","1019","8790","2","1","1","50","0"
"3","175","1095","7042","2","2","0","0","2"
"4","666","986","5916","1","1","0","0","1"
"2","819","1024","8901","1","1","0","0","0"
"5","743","1005","5147","1","0","1","100","2"
"3","746","988","7018","2","0","1","50","0"
"3","1185","996","7187","2","1","2","100","1"
"3","976","969","7115","1","0","1","100","0"
"3","887","1023","7161","1","0","1","100","0"
"2","1328","986","8965","1","1","0","0","0"
"2","748","938","8965","1","1","1","100","0"
"3","1525","1008","7115","1","0","1","100","0"
"5","741","935","5062","1","1","1","100","2"
"2","11","973","8965","1","1","1","100","0"
"5","841","948","5147","1","0","0","0","2"
"2","381","991","8901","1","1","0","0","0"
"5","870","972","5051","2","0","1","50","2"
"3","1605","1097","7018","3","1","2","67","1"
"4","79","1017","5916","1","1","0","0","2"
"3","1226","1067","7187","3","1","3","100","1"
"5","962","1016","5062","3","2","2","67","2"
"3","1449","985","7018","1","1","1","100","0"
"2","1002","974","8901","2","2","0","0","0"
"3","1461","1047","7018","1","1","1","100","0"
"4","1414","1023","5932","2","2","0","0","2"
"3","174","1017","7115","2","2","1","50","2"
"4","334","988","5816","2","0","2","100","1"
"5","560","1070","5051","2","0","1","50","2"
"2","1570","1000","8901","1","0","1","100","0"
"2","784","1008","8901","1","0","1","100","0"
"2","1592","1009","8790","2","0","2","100","0"
"2","880","995","8965","2","1","1","50","0"
"2","742","985","8901","2","2","2","100","0"
"2","1195","1004","8965","3","3","1","33","1"
"5","1096","1035","5147","2","1","2","100","2"
"5","650","1004","5062","3","3","1","33","2"
"5","706","1085","5051","1","0","0","0","2"
"2","886","951","8901","2","2","2","100","0"
"3","1049","972","7115","1","1","1","100","0"
"2","966","1004","8965","2","2","1","50","1"
"5","1276","1070","5062","1","1","1","100","2"
"3","524","974","7187","1","0","1","100","0"
"3","646","986","7187","3","3","1","33","2"
"4","343","1037","5932","1","0","1","100","1"
"4","592","1047","5916","1","1","0","0","2"
"2","1115","1043","8965","1","1","1","100","0"
"3","13","1016","7042","1","0","1","100","1"
"4","1171","1013","5932","1","0","1","100","1"
"5","139","982","5051","1","0","1","100","2"
"2","750","983","8901","1","1","0","0","0"
"3","5","1070","7115","1","1","1","100","1"
"3","939","992","7115","1","0","0","0","0"
"5","469","1017","5062","3","2","2","67","2"
"4","611","972","5932","2","2","2","100","2"
"4","798","1042","5916","3","1","1","33","2"
"2","997","994","8901","1","0","1","100","0"
"5","610","1097","5147","2","2","1","50","2"
"3","283","941","7161","1","0","1","100","0"
"4","1548","1043","5816","1","0","1","100","1"
"4","460","1024","5916","4","3","2","50","2"
"3","1161","985","7161","2","1","2","100","1"
"3","1323","999","7115","3","2","2","67","1"
"3","541","964","7018","1","0","1","100","0"
"4","886","985","5932","4","3","2","50","2"
"5","1444","1019","5051","2","2","2","100","2"
"5","100","1013","5147","1","1","1","100","2"
"3","460","999","7115","1","1","1","100","1"
"2","644","1010","8790","1","0","1","100","0"
"5","115","978","4897","3","2","2","67","2"
"5","1020","985","5051","1","1","1","100","2"
"4","989","1097","5816","3","1","2","67","2"
"3","1208","1007","7115","1","1","1","100","1"
"3","152","976","7042","2","1","2","100","1"
"3","523","985","7187","4","2","3","75","2"
"4","1503","975","5816","1","1","1","100","1"
"5","951","969","4897","2","2","1","50","2"
"2","86","1010","8965","3","2","2","67","1"
"3","1200","1013","7115","2","1","1","50","1"
"4","235","972","5816","1","1","0","0","2"
"2","1130","1048","8790","4","4","3","75","2"
"3","382","1070","7042","2","1","2","100","1"
"4","432","989","5932","1","1","1","100","2"
"5","1060","1013","5147","3","1","2","67","2"
"3","667","1030","7115","1","0","0","0","0"
"3","716","972","7115","1","0","1","100","0"
"3","1201","1032","7042","1","1","1","100","1"
"3","1102","1008","7042","1","0","1","100","0"
"3","525","960","7042","2","1","2","100","1"
"2","113","1043","8790","1","0","1","100","0"
"3","1539","1008","7042","1","1","0","0","1"
"3","53","1034","7042","2","0","1","50","1"
"4","1511","1000","5816","1","1","1","100","1"
"3","1540","991","7115","3","1","3","100","1"
"3","551","985","7018","3","2","3","100","1"
"2","551","985","8965","1","0","1","100","0"
"5","42","1085","4897","2","1","1","50","2"
"5","865","1024","5062","1","0","1","100","2"
"4","806","994","5816","2","2","2","100","2"
"2","776","978","8965","2","0","1","50","0"
"2","216","1070","8965","3","3","3","100","2"
"4","759","935","5916","1","1","1","100","1"
"2","1498","1009","8790","3","3","3","100","1"
"3","311","992","7115","2","1","2","100","1"
"5","521","968","5147","2","1","1","50","2"
"3","913","981","7187","2","1","2","100","1"
"3","27","1023","7115","1","1","1","100","1"
"5","156","991","4897","1","0","1","100","2"
"3","1214","951","7161","2","1","1","50","0"
"5","1131","949","5062","1","1","1","100","2"
"4","966","975","5816","1","0","1","100","1"
"3","1206","1024","7115","2","2","1","50","2"
"2","1557","941","8901","1","1","1","100","0"
"2","897","972","8901","3","3","3","100","1"
"2","519","935","8901","1","1","1","100","0"
"3","1414","969","7018","1","1","1","100","0"
"5","67","938","5147","1","1","0","0","2"
"3","1166","1027","7018","1","1","1","100","1"
"2","427","995","8901","1","0","0","0","0"
"3","1373","975","7161","2","1","1","50","1"
"2","1269","1023","8965","1","1","0","0","0"
"4","835","1067","5932","2","0","1","50","2"
"4","1549","1034","5816","1","1","1","100","1"
"2","99","1085","8901","2","1","1","50","0"
"2","1321","995","8901","1","1","1","100","0"
"4","1498","967","5816","1","1","1","100","1"
"3","338","1019","7042","3","3","2","67","2"
"3","1270","983","7187","2","2","2","100","1"
"4","196","978","5916","1","1","1","100","2"
"3","696","984","7115","1","1","0","0","1"
"2","879","956","8965","1","0","0","0","0"
"4","600","1042","5916","2","1","1","50","2"
"3","112","991","7161","3","2","2","67","2"
"4","483","1002","5932","2","2","1","50","2"
"3","1447","972","7115","1","0","1","100","0"
"5","627","995","5147","2","2","2","100","2"
"3","1158","973","7115","2","0","1","50","0"
"5","236","1001","4897","1","0","0","0","2"
"3","1515","991","7115","4","2","3","75","1"
"3","712","956","7161","4","2","2","50","2"
"2","1324","1085","8790","3","3","3","100","1"
"2","484","994","8790","1","1","1","100","0"
"4","1240","1001","5932","1","0","1","100","1"
"4","413","985","5932","1","1","0","0","2"
"3","255","951","7018","1","1","1","100","1"
"5","771","1023","5147","4","2","2","50","2"
"2","1580","1010","8965","2","2","1","50","0"
"2","434","1005","8901","1","0","1","100","0"
"2","175","1027","8965","2","1","2","100","0"
"3","1467","980","7115","1","1","0","0","1"
"3","652","981","7187","2","1","0","0","1"
"3","1056","983","7161","1","1","1","100","0"
"2","5","975","8901","1","1","1","100","0"
"4","635","1030","5916","3","1","2","67","2"
"3","507","1030","7161","2","1","0","0","1"
"3","283","983","7115","1","0","0","0","0"
"3","532","988","7161","1","1","1","100","1"
"5","424","941","5147","1","0","1","100","2"
"5","1317","1067","4897","2","2","0","0","2"
"3","1365","1040","7115","1","1","1","100","0"
"4","1637","943","5916","3","1","2","67","1"
"3","549","1010","7018","1","1","1","100","1"
"4","238","948","5816","4","2","2","50","2"
"4","474","1048","5932","1","1","1","100","2"
"3","141","941","7187","1","0","0","0","0"
"3","1050","1040","7187","1","1","0","0","1"
"3","115","1047","7161","2","2","0","0","2"
"3","1020","985","7018","1","1","1","100","0"
"2","406","991","8965","1","0","1","100","0"
"2","1061","997","8965","1","0","1","100","0"
"3","1340","1042","7018","2","1","1","50","1"
"3","438","985","7018","1","1","0","0","1"
"2","1395","976","8790","4","1","3","75","0"
"2","1182","983","8901","1","0","1","100","0"
"3","1508","1023","7187","1","1","0","0","1"
"5","1432","1048","5062","2","1","2","100","2"
"5","17","967","4897","1","0","0","0","2"
"3","1312","1008","7042","1","1","1","100","0"
"2","132","1008","8790","3","1","3","100","1"
"3","392","1097","7042","2","0","1","50","1"
"4","1578","995","5916","2","1","1","50","1"
"5","932","992","5147","3","2","3","100","2"
"2","1057","1042","8790","1","1","0","0","0"
"2","1147","956","8901","1","1","1","100","0"
"3","1042","1008","7042","2","0","1","50","1"
"3","198","985","7018","4","1","3","75","1"
"4","166","965","5932","2","1","1","50","2"
"3","755","1027","7042","3","1","2","67","1"
"2","941","974","8790","1","1","1","100","0"
"4","1229","1023","5932","2","0","1","50","1"
"4","785","1013","5916","2","2","1","50","2"
"4","407","974","5916","1","1","1","100","1"
"5","762","1010","5062","1","0","1","100","2"
"3","829","1095","7115","2","1","2","100","1"
"4","385","1047","5816","3","1","2","67","2"
"4","383","1002","5932","2","2","0","0","2"
"3","950","968","7161","2","2","2","100","1"
"5","1078","1024","4897","2","1","1","50","2"
"4","598","1023","5816","1","1","1","100","2"
"4","831","1001","5816","2","0","2","100","2"
"3","1419","1001","7018","1","0","1","100","0"
"2","1172","986","8790","1","1","1","100","0"
"5","1080","949","5062","1","0","1","100","1"
"5","990","1043","5062","2","2","1","50","2"
"4","306","964","5816","2","2","2","100","2"
"4","639","972","5932","1","1","1","100","1"
"4","671","976","5932","4","1","3","75","2"
"2","737","1032","8965","1","1","1","100","0"
"2","118","985","8901","4","2","4","100","1"
"3","1233","1030","7187","1","1","1","100","1"
"2","475","987","8901","1","1","1","100","0"
"4","1579","1019","5932","1","1","1","100","1"
"3","1002","1007","7018","1","0","1","100","0"
"3","339","1008","7115","2","2","1","50","1"
"3","823","981","7115","1","0","0","0","0"
"5","147","969","5051","1","1","1","100","2"
"3","1177","994","7161","2","1","2","100","1"
"3","721","1009","7161","1","1","1","100","1"
"2","669","1009","8790","1","0","1","100","0"
"2","1111","987","8790","3","3","0","0","1"
"5","1287","1034","5147","2","1","2","100","2"
"2","1122","1027","8790","2","1","0","0","0"
"3","279","992","7115","1","1","1","100","1"
"5","1235","986","4897","2","2","1","50","2"
"3","10","968","7018","1","0","1","100","0"
"2","296","1007","8790","1","1","1","100","0"
"3","1471","976","7161","3","2","1","33","1"
"2","113","986","8790","2","1","1","50","0"
"4","910","985","5932","1","1","1","100","1"
"3","95","986","7018","2","1","2","100","1"
"4","694","992","5932","1","1","1","100","1"
"3","948","996","7161","3","3","0","0","2"
"2","952","1017","8965","2","2","0","0","0"
"5","1498","996","5062","1","0","1","100","2"
"4","1265","960","5816","2","2","1","50","2"
"3","1258","1020","7161","1","0","0","0","0"
"5","296","992","5062","1","0","1","100","2"
"3","1242","976","7187","3","2","3","100","1"
"3","869","948","7187","2","1","2","100","1"
"3","49","1005","7018","2","0","2","100","1"
"3","738","981","7161","2","2","1","50","1"
"2","639","969","8965","2","1","0","0","0"
"3","752","1095","7018","1","1","1","100","1"
"3","811","1020","7115","3","2","3","100","1"
"2","1540","975","8790","2","0","1","50","0"
"2","432","1097","8790","1","1","1","100","0"
"3","669","1067","7161","4","2","3","75","2"
"4","940","1042","5916","4","2","3","75","2"
"2","1089","1042","8965","1","1","1","100","0"
"2","1236","1047","8901","1","0","0","0","0"
"5","638","1043","4897","1","1","1","100","2"
"2","8","1005","8790","2","2","2","100","1"
"4","555","1037","5816","1","0","1","100","1"
"5","1613","990","4897","4","2","4","100","2"
"4","1517","964","5916","1","1","0","0","1"
"4","476","990","5916","2","0","0","0","2"
"2","1385","982","8901","2","1","2","100","0"
"4","323","1023","5932","4","2","4","100","2"
"3","1416","996","7187","2","2","1","50","1"
"5","1422","986","4897","3","3","3","100","2"
"5","1273","975","5051","1","1","1","100","2"
"4","78","941","5816","1","0","1","100","1"
"3","1545","1023","7115","3","2","3","100","1"
"3","1193","969","7042","2","1","1","50","1"
"2","416","995","8901","1","0","1","100","0"
"4","48","1023","5916","2","0","1","50","2"
"2","1472","948","8965","3","3","1","33","1"
"3","613","1009","7161","2","2","2","100","1"
"5","620","1097","5147","2","1","0","0","2"
"2","310","1024","8965","2","2","0","0","1"
"4","524","1010","5816","2","2","2","100","2"
"3","1094","1020","7018","2","2","2","100","1"
"3","1406","1002","7187","1","1","1","100","1"
"2","831","992","8965","1","0","1","100","0"
"4","736","974","5816","2","2","2","100","2"
"3","1125","1027","7115","1","1","1","100","1"
"3","138","1016","7042","1","1","1","100","1"
"2","998","964","8901","1","1","1","100","0"
"3","634","1017","7018","2","1","2","100","1"
"2","1100","1000","8790","1","0","1","100","0"
"2","948","965","8965","2","2","1","50","0"
"2","1209","994","8901","1","1","1","100","0"
"2","1273","1047","8901","2","1","2","100","0"
"3","364","1024","7115","1","0","1","100","0"
"2","1184","1017","8965","4","4","2","50","2"
"2","760","941","8901","1","0","1","100","0"
"5","1197","987","5062","1","1","1","100","2"
"2","232","995","8965","3","3","1","33","1"
"5","74","983","5051","1","1","0","0","2"
"3","77","1007","7018","1","1","0","0","1"
"3","300","972","7042","1","0","1","100","0"
"3","456","1000","7161","1","1","0","0","1"
"3","760","1059","7042","3","2","2","67","2"
"3","1274","992","7042","1","0","1","100","0"
"4","317","982","5916","2","0","2","100","1"
"3","1008","983","7018","1","0","0","0","0"
"5","571","1007","5051","2","1","1","50","2"
"3","1329","986","7115","3","2","3","100","1"
"2","432","1020","8790","1","0","0","0","0"
"3","488","1047","7018","1","1","0","0","1"
"5","1462","997","5051","2","0","2","100","2"
"4","1035","1095","5932","4","2","3","75","2"
"3","1640","992","7161","1","1","0","0","1"
"5","1593","1047","5051","3","1","2","67","2"
